slang,formal
yg,yang
gw,gue
mksd,maksud
yg,yang
d,di
kyk,kayak
jrnk,jarang
"jelas"",jelas-jelas"
cow,cowok
kayax,kayak
km,kamu
yg,yang
dblkng,dibelakang
mksd,maksud
gw,gue
ngapain,mengapai
anjirr,anjir
mirippp,mirip
sangattt,sangat
iyap,iya
mayann,lumayan
indo,indonesia
ngikutin,mengikuti
bener,benar
autuhh,tau tuh
ga,enggak
seneng,senang
ae,saja
atutt,takut
ga,enggak
ama,sama
kyk,kayak
bgt,banget
mirippp,mirip
bgtttt,banget
kek,kayak
gini,begini
ketara,tertara
bgt,banget
yg,yang
blg,bilang
kek,kayak
giniii,begini
looo,loh
bgt,banget
sma,sama
g,enggak
liat,lihat
bnget,banget
ma,sama
cntik,cantik
pingin,pengin
lgsung,langsung
bgt,banget
mbaaass,mbak
bund,bunda
g,enggak
tetep,tetap
bangeeettt,banget
almh,almarhumah
temenkuuh,temanku
mmg,memang
suami'y,suaminya
alm,almarhum
ori,orisinal
bgt,banget
bgt,banget
bngeeeetttt,banget
tp,tapi
emg,memang
y,ya
dr,dari
sm,sama
yg,yang
y,ya
entr,entar
kyax,kayak
ap,apa
ea,ya
cuantikkk,cantik
mksdnya,maksudnya
yg,yang
cwe,cewek
aja,saja
klo,kalo
yg,yang
cwo,cowok
aja,saja
gak,enggak
namain,namai
ga,enggak
aja,saja
ato,atau
ato,atau
ato,atau
ato,atau
ato,atau
ato,atau
ato,atau
ato,atau
kaaaaaaaaaakkkkkkkkkkk,kak
ato,atau
aja,saja
aja,saja
kasi,kasih
aj,saja
klo,kalo
kucing'y,kucingnya
nama'in,namai
panggilan'ya,panggilannya
klo,kalo
kucing'y,kucingnya
nama'in,namai
panggilan'y,panggilannya
kereen,keren
gak,enggak
ka,kak
utk,untuk
yg,yang
cwo,cowok
klo,kalo
cwe,cewek
z,saja
aja,saja
aja,saja
kalw,kalau
beneran,benaran
gt,begitu
gimana,bagaimana
yg,yang
tips2,tips-tips
serem,seram
serem,seram
tp,tapi
ttp,tetap
ka,kak
alu,aku
bgt,banget
pake,pakai
aja,saja
ngerrrriiii,ngeri
tetep,tetap
saranin,sarankan
pake,pakai
udah,sudah
keliatan,kelihatan
aja,saja
karna,karena
ngga,enggak
bener2,benar-benar
gak,enggak
nyesel,menyesal
ayooo,ayo
aja,saja
gw,gue
gini,begini
model2,model-model
dgn,dengan
utk,untuk
bener,benar
ngriii,mengiri
amatt,amat
tetep,tetap
smpai,sampai
orang2,orang-orang
cantikkkk,cantik
ngelahirin,melahirkan
paksain,memaksakan
biasaa,biasa
pengen,pengin
besarin,membesarkan
hub,hubungi
aja,saja
bgt,banget
pake,pakai
kox,kok
gak,enggak
pake,pakai
kaka,kakak
bener,benar
yg,yang
kaka,kakak
saranin,sarankan
gak,enggak
ka,kak
bner,benar
kaka,kakak
saranin,sarankan
bner,benar
makasih,terima kasih
yah,ya
ka,kak
wihhh,wih
tetep,tetap
ga,enggak
th,teh
tmbah,tambah
cntikk,cantik
pkee,pakai
pake,pakai
ka,kak
aamiin,amin
gini,begini
pake,pakai
sllu,selalu
biasaa,biasa
yaa,ya
cantiikkkk,cantik
bgttt,banget
klo,kalo
smga,semoga
smkin,semakin
bnyk,banyak
amiiiiinnn,amin
ndak,indak
bgmna,bagaimana
ssorg,seseorang
d,di
hdpn,hadapan
yg,yang
tsb,tersebut
dg,dengan
smua,semua
liat,lihat
foto2,foto-foto
yg,yang
yg,yang
aminn,amin
dg,dengan
smakin,semakin
mnambh,menambah
ktaatan,ketaatan
pd,pada
dr,dari
dg,dengan
kemaren,kemarin
liat,lihat
mba,mbak
yaa,ya
ka,kak
ka,kak
ga,enggak
stju,setuju
krna,karena
karna,karena
ka,kak
cantikkkkkk,cantik
ga,enggak
dilepas2,dilepas-lepas
yaa,ya
tehhh,teh
istiqomahhh,istikamah
tehhhh,teh
udah,sudah
engga,enggak
pokonya,pokoknya
prodaknya,produknya
bgt,banget
ga,enggak
krn,karena
udah,sudah
dlm,dalam
gak,enggak
emang,memang
ga,enggak
kaka,kakak
y,ya
emng,memang
yah,ya
pke,pakai
gk,enggak
yg,yang
ngerii,ngeri
bangett,banget
dahh,dah
ngiri,mengiri
aja,saja
liat,lihat
ga,enggak
tdk,tidak
yg,yang
bngt,banget
kaka,kakak
kk,kakak
kk,kakak
kk,kakak
imutt,imut
amu,kamu
nahh,nah
cntikk,cantik
mauuuuuuu,mau
kaka,kakak
jilbb,jilbab
d,di
g,enggak
pake,pakai
mw,mau
liat,lihat
aj,saja
tmn,teman
ndut,gendut
udh,sudah
ngecek,mengecek
blom,belum
yah,ya
gada,enggak ada
kerjaan,pekerjaan
bgt,banget
ngecek,mengecek
ndut,gendut
psti,pasti
penasarn,penasaran
jg,juga
cuyy,cuy
astauviruloh,astagfirullah
binggo,banget
kaakk,kak
donk,dong
bnget,banget
udah,sudah
nyaa,nya
gk,enggak
bnyk,banyak
bgt,banget
kka,kakak
paaak,pak
diajarin,diajari
yg,yang
ngikutin,mengikuti
aja,saja
gawl,gaul
kecr,kece
gilaaa,gila
iih,ih
lucuuu,lucu
org,orang
yg,yang
ngajak,mengajak
dgn,dengan
trs,terus
org2,orang-orang
gemay,gemas
laaaah,lah
ka,kak
kmu,kamu
ko,kok
aq,aku
yah,ya
donk,dong
aned,banget
bgt,banget
gingsungny,gingsulnya
sma,sama
kyk,kayak
blh,boleh
ga,enggak
bgt,banget
cariin,carikan
gini,begini
bgt,banget
yg,yang
gak,enggak
kenceng,kencang
yg,yang
cuanti,cantik
kyk,kayak
q,aku
kmu,kamu
mbanya,mbaknya
hy,hai
ka,kak
q,ku
lh,boleh
knlan,kenalan
g,enggak
bgt,banget
donk,dong
udh,sudah
aja,saja
jngn,jangan
indo,indonesia
indo,indonesia
jg,juga
ga,enggak
gw,gue
liat,lihat
ky,kaya
mbaakk,mbak
emg,memang
yg,yang
pnting,penting
mrka,mereka
gk,enggak
nyusahhin,menyusahkan
kmu,kamu
gk,enggak
mnta,minta
byaran,bayaran
mrka,mereka
pnya,punya
wlawpun,walaupun
bnyak,banyak
yg,yang
sedangkn,sedangkan
hnya,hanya
tnpa,tanpa
kmu,kamu
pnya,punya
yg,yang
d,di
bnggain,banggakan
smpe,sampai
sperti,seperti
emng,memang
kmu,kamu
yg,yang
mrka,mereka
yg,yang
kmu,kamu
omongin,omongkan
nyusahin,menyusahkan
emg,memang
yg,yang
nyusahin,menyusahkan
cmn,cuman
malu2in,malu-malui
indo,indonesia
aja,saja
emg,memang
gak,enggak
blm,belum
dibanggain,dibanggakan
tpi,tapi
sma,sama
wlau,walau
tpi,tapi
emg,memang
komenan,komentar
yg,yang
kmu,kamu
"bangga""in,membangga-banggakan"
tpi,tapi
krya,karya
kmu,kamu
"bilang"",bilang-bilang"
tinggall,tinggal
dmna,dimana
bgt,banget
ngebales,membalas
dripda,daripada
emg,memang
gk,enggak
bangga2in,membangga-banggakan
emg,memang
klo,kalo
yg,yang
dibnggain,dibanggakan
cmn,cuman
kyk,kayak
gitu,begitu
aja,saja
wlaupun,walaupun
dgn,dengan
yg,yang
kyk,kayak
ank,anak
jgn,jangan
krn,karena
org,orang
tpi,tapi
sma,sama
karya2,karya-karya
yg,yang
gk,enggak
ank,anak
gk,enggak
dgn,dengan
karya2,karya-karya
emg,memang
gk,enggak
sma,sama
sma,sama
gimana,bagaimana
kyk,kayak
yg,yang
trs,terus
drimana,darimana
udh,sudah
yg,yang
dehh,deh
jgn,jangan
yaa,ya
udh,sudah
klo,kalo
yg,yang
tpi,tapi
ngapain,mengapai
udh,sudah
gni,begini
gk,enggak
ank,anak
dri,dari
gk,enggak
slh,salah
trs,terus
mreka,mereka
jdi,jadi
ngepake',memakai
gksalah,enggak salah
gak,enggak
gk,enggak
nuntut,menuntut
ngebiarin,membiarkan
org,orang
yg,yang
krn,karena
spy,supaya
mreka,mereka
yg,yang
lgi,lagi
bhas,bahas
tdi,tadi
dri,dari
ngeluarin,mengeluarkan
kasian,kasihan
elo,lo
komenan,komentar
elo,lo
komenan,komentar
ngatain,mengatai
komenan,komentar
org,orang
tpi,tapi
gk,enggak
komenan,komentar
kyk,kayak
gimana,bagaimana
jg,juga
lagu'y,lagunya
yak,ya
lagu2nya,lagu-lagunya
kakk,kak
ka,kak
jadiin,jadikan
bgt,banget
yak,ya
guaa,gua
bgt,banget
kaa,kak
omongin,omongkan
gak,enggak
diem,diam
ajah,saja
gausah,enggak usah
nyampah,menyampah
klo,kalo
gw,gue
"mba"",mbak-mbak"
donk,dong
gausah,enggak usah
ajah,saja
jgn,jangan
dh,deh
bukan'a,bukannya
mba,mbak
tappi,tapi
mang,memang
dahh,dah
cantikk,cantik
kalli,kali
mba,mbak
jngn,jangan
ka,kak
aja,saja
sm,sama
gk,enggak
pacara,pacaran
jga,juga
kalli,kali
maen,main
nuduh,menuduh
"ngerebut"",merebut-rebut"
aja,saja
lluu,lu
mbaa,mbak
gk,enggak
ngerussak,merusak
mreka,mereka
"bela""in,membela-bela"
bellain,membela
aja,saja
jngn,jangan
pke,pakai
ka,kak
donk,dong
kallo,kalo
coment,komen
yg,yang
dewassa,dewasa
mba,mbak
jngn,jangan
aja,saja
kallo,kalo
comnet,komen
gk,enggak
"pikir"",pikir-pikir"
dlu,dulu
pke,pakai
bangetttt,banget
kaya'a,kayanya
aja,saja
kuyyy,yuk
kitaa,kita
ap,apa
makasih,terima kasih
yh,ya
uda,sudah
ngaca,mengaca
jg,juga
ga,enggak
gitu2,begitu-gitu
org,orang
gimana,bagaimana
aja,saja
knpa,kenapa
mba,mbak
mba,mbak
d,di
d,di
smpe,sampai
sgtu'y,sebegitunya
ngebelain,membela
tpii,tapi
"karya"",karya-karya"
do,di
cali,caci
kya,kaya
mba,mbak
penghrgaan,penghargaan
ajjh,saja
sihh,sih
buktiin,buktikan
mba,mbak
klau,kalau
mba,mbak
lbihh,lebih
baikk,baik
drii,dari
"artist"",artis-artis"
yg,yang
mba,mbak
"maki"",maki-maki"
jngn,jangan
komentarin,mengomentari
orng,orang
sendirinnya,sendirinya
gk,enggak
stidaknya,setidaknya
mrka,mereka
may,mau
yg,yang
trbaikk,terbaik
bkan,bukan
kmauan,kemauan
mrka,mereka
tpi,tapi
mrka,mereka
punn,pun
mengikutii,mengikuti
atassan,atasan
mrka,mereka
klauu,kalau
jngnn,jangan
so,sok
orng,orang
kya,kaya
gtu,begitu
kya,kaya
sendirinyya,sendirinya
frestasiii,prestasi
ajjh,saja
knp,kenapa
mst,mesti
add,ada
see,sih
sibukx,sibuknya
in,ini
yaa,ya
katanyaa,katanya
lawaaaas,lawas
ngakak,mengakak
ni,ini
beneran,benaran
ni,nih
yg,yang
nonton,menonton
emg,memang
ngapain,mengapa
d,di
lucuuu,lucu
g,enggak
ad,ada
kocaaaak,kocak
kek,kayak
smg,semoga
slalu,selalu
tmbh,tambah
syng,sayang
sm,sama
sm,sama
jagain,jaga
adenya,adeknya
pkoknyaa,pokoknya
bwt,buat
yg,yang
smoga,semoga
yaa,ya
dateng,datang
donk,dong
smoga,semoga
dsana,disana
yaaa,ya
yg,yang
suksess,sukses
slalu,selalu
ortu,orang tua
yg,yang
amiin,amin
ortu,orang tua
smoga,semoga
cita2,cita-cita
dua2nya,dua-duanya
bangett,banget
sichhhhhhhhhh,sih
diapain,diapakan
gk,enggak
yh,ya
nampak,menampak
yak,ya
ndak,indak
tetehh,teteh
tehhh,teh
tehhhh,teh
gak,enggak
udah,sudah
pake,pakai
sampe,sampai
udah,sudah
gak,enggak
dapetin,mendapati
padet,padat
ga,enggak
buktiin,buktikan
bener,benar
bener,benar
gak,enggak
nyangka,menyangka
bgt,banget
nambah,menambah
makasih,terima kasih
ga,enggak
nyangka,menyangka
gak,enggak
aja,saja
yuuk,yuk
dgn,dengan
yg,yang
dgn,dengan
makasih,terima kasih
buktiin,membuktikan
bener2,benar-benar
kepoin,kepoi
aja,saja
wooowww,wow
wooowww,wow
saranin,sarankan
ga,enggak
pake,pakai
ilang,hilang
ga,enggak
cobain,coba
pake,pakai
ngerasain,merasai
emng,memang
bener,benar
pake,pakai
makasih,terima kasih
kpn,kapan
yach,ya
bs,bisa
ma,sama
mbk,mbak
muga,moga
sllu,selalu
dpt,dapat
yg,yang
slm,salam
aj,saja
dr,dari
aq,aku
mbk,mbak
yach,ya
makasih,terima kasih
udh,sudah
kenalin,mengenalkan
jd,jadi
gak,enggak
jd,jadi
pede,percaya diri
skrng,sekarang
mksh,terima kasih
yg,yang
bener2,benar-benar
udah,sudah
rekomendasiin,merekomendasikan
ga,enggak
pengen,pengin
janka,jangka
kepoin,mengepoi
ajaa,saja
belanjaa,belanja
disiniii,disini
ko,kok
skrg,sekarang
wawwwww,wow
waaaww,wow
waaawwww,wow
mantapp,mantap
bangetttt,banget
cobaaa,coba
gak,enggak
nyesel,menyesal
dehhh,deh
pake,pakai
model2,model-model
makasih,terima kasih
udah,sudah
seneng,senang
udah,sudah
seneng,senang
udah,sudah
udah,sudah
kenceng,kencang
gak,enggak
nyangka,menyangka
kageet,kaget
makasi,terima kasih
say,sayang
awal2,awal-awal
ga,enggak
setabil,stabil
temen2,teman-teman
nyoba,mencoba
ihh,ih
beneran,benaran
setabil,stabil
ga,enggak
temen2,teman-teman
makasih,terima kasih
yah,ya
ga,enggak
yg,yang
pake,pakai
bgt,banget
gak,enggak
bangettttttt,banget
seneng,senang
liat,lihat
mauu,mau
ngtain,mengatai
org,orang
kya,kaya
g,enggak
aja,saja
gak,enggak
oplas,operasi plastik
gak,enggak
keliatan,kelihatan
nambahh,bertambah
paripurnahh,paripurna
wanitah,wanita
indonesiaah,indonesia
bet,banget
udh,sudah
iyaa,iya
cumn,cuman
kasi,kasih
aja,saja
sm,sama
klo,kalo
liat,lihat
gegra,gegara
kmrin,kemarin
brita,berita
klo,kalo
diliat,dilihat
wihhh,wih
pengen,pengin
bgt,banget
klo,kalo
ktmu,ketemu
sma,sama
org,orang
yg,yang
ka,kak
baper,bawa perasaan
fotbar,foto bareng
aja,saja
gapernah,enggak pernah
fotbar,foto bareng
ama,sama
jg,juga
ngatain,mengatai
wajarrr,wajar
dikata2in,dikata-katai
sampek,sampai
gak,enggak
yg,yang
liat,lihat
liat,lihat
ny,nya
aja,saja
liat,lihat
skg,sekarang
sngt,sangat
tdk,tidak
pdhl,padahal
dl,dulu
wk,waktu
sm,sama
skg,sekarang
ky,kaya
bingiittt,banget
sm,sama
dr,dari
aja,saja
sudh,sudah
tp,tapi
klu,kalau
dr,dari
nampar,menampar
tukan,tukang
jatoh,jatuh
gk,enggak
dr,dari
ko,kok
gtu,begitu
ga,enggak
org,orang
gk,enggak
"muka"",muka-muka"
dr,dari
dh,dah
jlek,jelek
sma,sama
ky,kaya
ga,enggak
ga,enggak
cantik2nya,cantik-cantiknya
ngk,enggak
pda,pada
sdgkn,sedangkan
jgk,juga
ngk,enggak
"apa"",apa-apa"
kn,kan
mancungin,memancungkan
idung,hidung
kusem,kusam
lbh,lebih
drpada,daripada
yg,yang
org,orang
lahh,lah
dri,dari
gtu,begitu
kmar,kamar
diemm,diam
tnggu,tunggu
lohh,loh
dteng,datang
nihhh,nih
guee,gue
ketawain,mentertawakan
lohh,lo
krna,karena
yaelahhh,alah
gausah,enggak usah
drpd,daripada
ngaca,mengaca
"sikap"",sikap-sikap"
udah,sudah
bener,benar
sampe,sampai
ngehujat,menghujat
bgt,banget
komenan,komentar
drpd,daripada
pengen,pengin
bales,balas
ngehina,menghina
yah,ya
ga,enggak
ampuun,ampun
ngehina,menghina
sampe,sampai
ngejatuhin,manjatuhkan
ga,enggak
klo,kalo
ga,enggak
ngelakuin,melakukan
dapet,dapat
ngehina,menghina
ga,enggak
gedeg,gedek
ama,sama
muka2,muka-muka
ngaca,mengaca
ngatain,mengatai
eey,eh
emang,memang
nggk,enggak
prnh,pernah
kslahan,kesalahan
aja,saja
yg,yang
koment,komentar
ga,enggak
bener,benar
ngata2in,mengatai-ngatai
gak,enggak
liat,lihat
org,orang
gak,enggak
gak,enggak
bener,benar
klo,kalo
gak,enggak
yg,yang
udah,sudah
aja,saja
gak,enggak
mmg,memang
ga,enggak
baik2,baik-baik
silahkan,silakan
mba,mbak
mba,mbak
gak,enggak
perhatiam,perhatian
sm,sama
aj,saja
dri,dari
pd,pada
jg,juga
ttp,tetap
yg,yang
smpe,sampai
ttp,tetap
sm,sama
yah,ya
emang,memang
digituin,dibegitukan
dibiarin,dibiarkan
aja,saja
sich,sih
aq,aku
yg,yang
gk,enggak
pny,punya
ank,anak
aja,saja
org,orang
gk,enggak
yg,yang
sbnrny,sebenarnya
trjd,terjadi
dlm,dalam
mrk,mereka
gk,enggak
mkir,memikir
bhw,bahwa
gk,enggak
mgkn,mungkin
hny,hanya
slah,salah
yg,yang
slah,salah
22nya,dua-duanya
slah,salah
ngatain,mengatai
apalai,apalagi
yg,yang
dikata2in,dikata-katai
keliatan,kelihatan
klo,kalo
emang,memang
ngapain,mengapai
cmpur,campur
org,orang
bkal,bakal
pny,punya
saat2,saat-saat
spt,seperti
akn,akan
dtg,datang
pd,pada
ank,anak
ntar,entar
jg,juga
bkal,bakal
jd,jadi
org,orang
hrs,harus
nyadar,menyadari
ank,anak
yg,yang
gk,enggak
apa2,apa-apa
ngapain,mengapa
ngomong,mengomong
ngeluarin,mengeluarkan
kta,kata
yg,yang
gk,enggak
utk,untuk
ank,anak
dmn,dimana
yg,yang
knp,kenapa
br,baru
nyadar,sadar
bka,buka
jgn,jangan
ska,suka
sotoy,sok tau
sma,sama
rmh,rumah
org,orang
pny,punya
aja,saja
berani2,berani-berani
ngatain,mengatai
ank,anak
sprt,seperti
yg,yang
gk,enggak
apa2,apa-apa
gk,enggak
sma,sama
gk,enggak
ngaca,mengaca
sm,sama
utk,untuk
mo,mau
yaa,ya
lucuuuuu,lucu
pngn,pengin
pipi'y,pipinya
gemmeeezzz,gemas
cantiikk,cantik
sukam,suka
ngga,enggak
sm,sama
yach,ya
ngga,enggak
ngga,enggak
sm,sama
wkt,waktu
udah,sudah
ga,enggak
makasih,terima kasih
klau,kalau
pakek,pakai
mba,mbak
lbh,lebih
liat,lihat
manisss,manis
mngkin,mungkin
menghilangkn,menghilangkan
utk,untuk
yg,yang
gak,enggak
pede,percaya diri
karna,karena
utk,untuk
kk,kakak
trasa,terasa
minpi,mimpi
bner2,benar-benar
gak,enggak
nyangka,menyangka
gak,enggak
mnjdkan,menjadikan
jd,jadi
ak,aku
gak,enggak
mudah2n,mudah-mudahan
seneng,senang
baju2,baju-baju
seneng,senang
dapet,dapat
pake,pakai
ga,enggak
tp,tapi
stlh,setelah
soalx,soalnya
smpt,sempat
liat,lihat
ka,kak
makasih,terima kasih
udah,sudah
rekomendasiin,merekomendasikan
aja,saja
ka,kak
aja,saja
ka,kak
skrng,sekarang
gak,enggak
pake,pakai
jd,jadi
gara2,gara-gara
yg,yang
rekomendasiin,merekomendasikan
mksh,terima kasih
yah,ya
kaka,kakak
saranin,menyarankan
kaka,kakak
yah,ya
udah,sudah
ga,enggak
makasih,terima kasih
ngerasa,merasa
laen,lain
keche,kece
badaii,badai
aj,saja
udah,sudah
pake,pakai
smoga,semoga
mnjadi,menjadi
emg,memang
smua,semua
btuh,butuh
yg,yang
pnting,penting
yg,yang
ktanya,katanya
aja,saja
msh,masih
bebrp,beberapa
sblum,sebelum
santab,santap
d,di
dlm,dalam
salehah,salihah
mikirin,memikirkan
kk,kakak
rb,ribu
jt,juta
subhannallah,subhanallah
lht,lihat
klu,kalau
cantiq,cantik
karna,karena
yu,yuk
yu,yuk
konsul,konsultasi
pengalam,pengalaman
ga,enggak
drpd,daripada
hrs,harus
smangat,semangat
slalu,selalu
yg,yang
tuk,untuk
yg,yang
poko,pokok
ny,nya
bner,benar
bner,benar
udah,sudah
bnget,banget
udah,sudah
trun,turun
poko,pokok
mantepp,mantap
dehh,deh
lbh,lebih
kuninggg,kuning
pinkkkk,pink
bs,bisa
d,di
dg,dengan
warnany,warnanya
ajaa,saja
aja,saja
seger,segar
klo,kalo
bwt,buat
mkn,makin
senangat,semangat
msknya,masaknya
kerennnn,keren
yg,yang
ciptain,ciptakan
sma,sama
ngasih,mengasih
say,sayang
bkan,bukan
inget,ingat
deket,dekat
bagussss,bagus
yg,yang
abis,habis
liat,lihat
makasih,terima kasih
sayangkuh,sayangku
gans,ganteng
kren,keren
babget,banget
banger,banget
salfok,salah fokus
ama,sama
org,orang
yg,yang
dihh,dih
salfok,salah fokus
aja,saja
jadu,jadi
nggak,enggak
heii,hai
kamuu,kamu
ksyngn,kesayangan
gw,gue
gk,enggak
haru,harus
ngapain,mengapai
gw,gue
cma,cuma
pengen,pengin
ngingetin,mengingatkan
sma,sama
bngt,banget
syang,sayang
gw,gue
udh,sudah
th,tahun
udh,sudah
gw,gue
yg,yang
gk,enggak
gw,gue
narik,menarik
gw,gue
liat,lihat
bngt,banget
yg,yang
kmu,kamu
"orang"",orang-orang"
yg,yang
pengen,pengin
kmu,kamu
gw,gue
gk,enggak
ngapain,mengapai
syng,sayang
nyanyiin,menyanyikan
tuhh,tuh
amatt,amat
ngk,enggak
gt,begitu
tetep,tetap
gokilll,gila
gantenggg,ganteng
astagaaaa,astaga
hancuuuuuy,hancur
mattihhh,mati
aja,saja
kaka,kakak
kaka,kakak
pake,pakai
gak,enggak
nyesel,menyesal
ka,kak
beudd,banget
termiribkan,termiripkan
utk,untuk
u,lu
ga,enggak
cb,coba
dlu,dulu
dngerin,mendengarkan
brrti,berarti
dngerin,mendengarkan
wenakk,enak
gimana,bagaimana
tetep,tetap
nganteng,ganteng
abanggg,abang
seksii,seksi
gtuh,begitu
jadii,jadi
emeezzz,gemas
ama,sama
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
awk,awak
duhhhhh,duh
wowww,wow
kerennn,keren
kaka,kakak
liaatt,lihat
iniiiii,ini
aloh,allah
bnget,banget
ngettt,banget
bangeett,banget
bgt,banget
mirippp,mirip
mukax,mukanya
"sama"",sama-sama"
mba,mbak
msh,masih
aja,saja
kyak,kayak
maso,masa
dpn,depan
ngeliatnya,melihatnya
skli,sekali
kk,kakak
kk,kakak
gk,enggak
brubah,berubah
udah,sudah
y,ya
pelastik,plastik
keak,kayak
y,ya
bg,bang
dengerin,dengarkan
liatnya,lihatnya
beud,banget
pahamin,pahami
cntk,cantik
makasih,terima kasih
emg,memang
gitu,begitu
lg,lagi
aja,saja
liatnya,lihatnya
ky,kaya
gini,begini
yah,ya
takuuuuut,takut
ahahahanjirrr,anjir
dasyat,dahsyat
jogetin,berjoget
shaay,say
boker,berak
boker,berak
gk,enggak
yg,yang
lbih,lebih
ga,enggak
nyangka,menyangka
beneran,benaran
hub,hubungi
gitu,begitu
gk,enggak
nyambung,menyambung
pacarnyaa,pacarnya
siapaa,siapa
inii,ini
matii,mati
ketawaa,ketawa
klo,kalo
nda,indak
nda,indak
d,di
sdh,sudah
makasih,terima kasih
njir,anjir
ngakak,mengakak
taekk,tahi
wanjiir,anjir
ni,ini
dmna,dimana
mw,mau
jg,juga
trus,terus
bw,bawa
pengen,pengin
dh,deh
pingin,pengin
jgn,jangan
mauuuuu,mau
minta,meminta
mauuu,mau
leh,boleh
bnran,benaran
tp,tapi
g,enggak
kk,kakak
kk,kakak
y,ya
smua,semua
kk,kakak
tu,itu
sgla,segala
uitnya,duitnya
k,kak
kmrn,kemarin
beliiin,belikan
yaaah,ya
macem2,macam-macam
lucuuuu,lucu
beliin,belikan
sm,sama
yg,yang
tetep,tetap
emang,memang
emang,memang
sampe,sampai
ga,enggak
nyangka,menyangka
sekaeang,sekarang
udah,sudah
buktiin,membuktikan
yg,yang
ngebuktiin,membuktikan
bgt,banget
liat,lihat
kyk,kayak
gini,begini
itungan,hitungan
aja,saja
tgk,tengok
mo,mau
tgk,tengok
gak,enggak
nyangka,menyangka
kageet,kaget
makasi,terima kasih
say,sayang
sma,sama
ga,enggak
ilang2,hilang-hilang
bkn,bikin
ga,enggak
jga,juga
bgt,banget
yu,yuk
tanyain,tanyakan
mslh,masalah
kmi,kami
kepoin,kepoi
ga,enggak
nyoba,mencoba
wihh,wih
beneran,benaran
yah,ya
yu,yuk
aja,saja
aja,saja
hub,hubungi
yu,yuk
aja,saja
aja,saja
hub,hubungi
yu,yuk
aja,saja
aja,saja
hub,hubungi
bgt,banget
ga,enggak
yg,yang
"artis"",artis-artis"
klu,kalau
jatuhnyaa,jatuhnya
kka,kakak
kk,kakak
gini,begini
gak,enggak
kerjaan,pekerjaan
tambahin,tambahkan
aja,saja
banyakin,membanyaki
udah,sudah
elo,lo
aja,saja
gak,enggak
emang,memang
nambah,bertambah
aja,saja
yg,yang
tipu2nya,tipu-tipunya
doaang,doang
yaa,ya
dech,deh
baget,banget
bat,banget
kk,kakak
gini,begini
ny,nya
gituan,begituan
lucuuu,lucu
tpii,tapi
ap,apa
bgt,banget
lucuu,lucu
kaj,kak
lcu,lucu
bngt,banget
ap,apa
tu,itu
ajah,saja
wahhhhhh,wah
bngt,banget
bingittzz,banget
kl,kalo
bgt,banget
lucuuu,lucu
lucuu,lucu
iiiiiiiii,ih
lucuuu,lucu
kaliiiiiii,kali
ihhh,ih
cantikkkk,cantik
cantikkkk,cantik
melebihin,melebihi
apaa,apa
pengen,pengin
pengen,pengin
gakpapa,enggak apa-apa
kalogak,kalo enggak
gak,enggak
kaka,kakak
donk,dong
ka,kak
kaka,kakak
kaaa,kak
sm2,sama-sama
km,kamu
bgt,banget
bgt,banget
akn,akan
ndukung,mendukung
pengen,pengin
gk,enggak
aminnnnn,amin
ka,kak
make,memakai
kaaaaa,kak
aamiinnn,amin
smga,semoga
slalu,selalu
skluarga,sekeluarga
daah,dah
suaminga,suaminya
udah,sudah
berhijap,berhijab
smgaa,semoga
istiqamah,istikamah
aamiin,amin
cuaaantikk,cantik
udah,sudah
cantikk,cantik
yah,ya
rb,ribu
muraaaaah,murah
rb,ribu
aja,saja
gk,enggak
aamiin,amin
mba,mbak
yukk,yuk
baraang,barang
aamiiin,amin
udh,sudah
aamiin,amin
bets,banget
aamiin,amin
seneng,senang
kaka,kakak
ka,kak
bgt,banget
smga,semoga
kaka,kakak
aamiin,amin
aamiin,amin
yaa,ya
yaaa,ya
cantiknyaaa,cantiknya
amiiin,amin
aamiin,amin
aamiin,amin
yg,yang
gk,enggak
pake,pakai
lbh,lebih
mba,mbak
bgt,banget
pake,pakai
alhamdulillaaaaah,alhamdulillah
istiqamah,istikamah
yah,ya
makasi,terima kasih
uda,sudah
sembuhin,menyembuhkan
bener,benar
aamiin,amin
tetep,tetap
kaaa,kak
fto,foto
d,di
z,saja
ad,ada
yg,yang
bkin,bikin
pengrusak,perusak
pngn,pengin
ngoceh,mengoceh
ni,ini
aduhhh,aduh
hpus,hapus
fto,foto
pjang,pajang
msh,masih
bdampingan,berdampingan
sm,sama
org,orang
yg,yang
sdh,sudah
klo,kalo
tdk,tidak
hrs,harus
liatnya,lihatnya
it,itu
ap,apa
yg,yang
y,ya
mnding,mending
sm,sama
aja,saja
liat,lihat
kaga,kagak
liat,lihat
yg,yang
aj,saja
uih,uh
komenx,komennya
"serem"",seram-seram"
yg,yang
"happi"",hepi-hepi"
aza,saja
sm,sama
bgt,banget
bgtuu,begitu
ga,enggak
yaa,ya
g,enggak
mff,maaf
y,ya
q,ku
jd,jadi
ktwa,ketawa
liat,lihat
fto,foto
yg,yang
yg,yang
pke,pakai
bngt,banget
slh,salah
x,kali
yeee,ya
abizzz,habis
bnr2,benar-benar
malu2in,malu-malui
aj,saja
sm,sama
yg,yang
bkin,bikin
ngakak,mengakak
mff,maaf
y,ya
q,ku
trlalu,terlalu
jjur,jujur
klo,kalo
ngmg,mengomong
semogaa,semoga
